Datum,Nr,Dauer_sek,Kcal,Watt,MaxHF,Rec,RR_ruhe,RR_training,RR_abend,Kinomap,Strecke,Distanz_km,Kadenz_rpm,Watt_Max,Watt_Max_PR,Hoehenmeter,Temperatur_C,Max_kmh,Kommentar
26.7,62,3180,497,165,107,1,,124/78/80,,1,Lechradweg Grießau–Weißenbach (Tirol),28.35,71,276,,91,26,,subjektiv sehr anstrengend trotz moderater Watt
27.7,–,,,,,,142/82/72,,,,,,,,,,,,
28.7,63,1260,254,210,116,1,,118/77/86,,1,Wien Donauinsel Nord 10k+,11.64,81,282,,,27,,"kurz&knackig, Zerrung re. Oberschenkel (Ursache: Dauer, nicht Krafteinsatz) fast abgeklungen"
29.7,64,1920,360,196,116,1,,111/68/83,,1,Widnau–Widnau,17.30,78,258,,,29,,
29.7,65,1620,252,161,104,,,100/65/76,,1,Cologne Lunchbreak,11.47,70,239,,78,29,,"müde, geringere Belastung"
30.7,66,1740,318,193,110,1,135/85/67,126/73/85,,1,St.Margarethen–Bregenz–Lochau,15.40,78,253,,,32,,sehr heiss/schwül · Puls trotz Hitze niedrig geblieben
30.7,67,1260,218,185,116,1,,128/76/86,,1,Casal Palocco–Pontile Ostia,10.97,76,263,,,31,,
31.7,68,2040,352,180,111,1,136/80/68,121/76/78,,1,Ferney-Voltaire–Divonne-les-Bains,15.08,73,296,,134,30,,
1.8,69,2340,416,186,110,1,,132/76/83,,1,Bavarian Tour Dachau–Ismaning,20.58,76,271,,44,28,,⚠️ gestern abend Blutdruckmedikamente vergessen
1.8,70,1800,289,169,110,,,135/78/87,,1,Greifensee,14.60,74,256,,84,30,,
2.8,71,1320,236,186,108,,155/90/70,137/84/78,,1,Wien Donauinsel Nord 10k+,11.64,76,263,,,29,,"nicht ganz fit, muskuläre Begrenzung"
2.8,72,1560,245,161,108,,,131/83/76,,1,Lechradweg Grießau–Weißenbach (Tirol),14.49,70,248,,24,30,,nur 51% Strecke
3.8,73,1680,323,198,115,1,137/87/70,121/71/85,,1,St.Margarethen–Bregenz–Lochau,15.40,77,272,,33,30,,
3.8,74,1560,294,195,115,,,,,1,Bora Bora Matira–Vaitape,14.21,78,298,,17,,,
3.8,75,1200,224,196,120,1,,121/85/84,,1,Évian–Grenze Schweiz,10.24,76,338,1,33,30,,HIT 90sek locker/30sek hart
4.8,76,1920,361,197,116,1,,118/75/89,,1,Widnau–Widnau,17.29,77,303,,30,30,,
5.8,77,2340,424,192,113,1,132/77/74,108/71/88,,1,Bavarian Tour Dachau–Ismaning,20.58,76,312,,44,31,,
6.8,78,2400,414,178,110,1,,115/75/86,,1,Wien New Danube Riverbed,20.95,76,338,1,46,30,,
7.8,79,2280,436,197,120,1,140/85/85,109/72/86,,1,Kaiserstrand–Rohrspitz (Bodensee),20.80,78,287,,50,,,Temp(?) sehr anstrengend aber motiviert
8.8,–,,,,,,144/84/73,,,,,,,,,,,,
9.8,80,1920,367,203,122,1,,128/74/94,,1,Widnau–Widnau,17.29,79,,,30,30,,Max 432W = Sensor-Ausreißer (ignorieren)
9.8,81,720,126,176,110,,,120/75/85,,1,Pfänder–Bregenz downhill,10.96,71,257,,6,28,,
10.8,82,2040,350,178,108,1,155/100/74 (Mittag),122/74/78,,1,Ferney-Voltaire–Divonne-les-Bains,15.08,73,248,,134,31,,
